match_id,name,backfill,role,character_sequence,ultimates_used,eliminations,assists,deaths,damage,healing,mitigation,afilliation,first_pick,second_pick,third_pick,fourth_pick
1,lucioos,Yes,Support,Zenyatta,1,3,5,3,1469,1483,0,Friendly,Zenyatta,,,
1,Brodoe,No,Support,"Moira, Ana",3,7,5,7,3955,6626,107,Friendly,Moira,Ana,,
1,Soff,No,Support,Kiriko,3,1,22,2,653,7230,0,Opponent,Kiriko,,,
1,TheBojangles,No,Support,Lucio,3,11,14,1,2413,6356,1542,Opponent,Lucio,,,
1,Lilowo,No,Tank,"Reinhardt, Zarya",2,8,2,7,5534,0,5478,Friendly,Reinhardt,Zarya,,
1,RealImpact,No,Tank,Doomfist,4,23,4,4,7918,0,5431,Opponent,Doomfist,,,
1,Sanity,No,Damage,"Reaper, Soldier: 76",1,9,1,8,5064,1024,0,Friendly,Reaper,Soldier: 76,,
1,Ozhiy,No,Damage,Junkrat ,2,13,3,7,6615,0,240,Friendly,Junkrat ,,,
1,Annihilator,No,Damage,Soldier: 76,2,15,0,5,4534,934,0,Opponent,Soldier: 76,,,
1,PeteTheBest,No,Damage,"Bastion, Echo",3,21,4,5,6205,306,527,Opponent,Bastion,Echo,,
2,lucioos,No,Support,Kiriko,1,12,16,1,1692,7189,0,Friendly,Kiriko,,,
2,LemonViper,No,Support,Moira,1,20,7,2,4397,2684,0,Friendly,Moira,,,
2,Fwgt,No,Support,Moira,2,5,2,8,2736,4738,0,Opponent,Moira,,,
2,Rustimp,No,Support,"Illari, Mercy",2,0,4,5,136,4852,0,Opponent,Illari,Mercy,,
2,SageBison,No,Tank,Orisa,2,18,3,3,8411,0,5184,Friendly,Orisa,,,
2,PinPeaches,No,Tank,Roadhog,2,4,1,5,3573,4061,979,Opponent,Roadhog,,,
2,YouLoseTY,No,Damage,Junkrat,2,17,4,1,6817,0,0,Friendly,Junkrat,,,
2,Peaches,No,Damage,Widowmaker,2,13,3,3,3253,0,0,Friendly,Widowmaker,,,
2,Emudoodle,No,Damage,"Soldier:76, Junkrat, Pharah",0,5,0,8,4066,325,0,Opponent,Soldier:76,Junkrat,Pharah,
2,Wozi,No,Damage,"Ashe, Soldier:76",1,4,1,10,3539,275,0,Opponent,Ashe,Soldier:76,,
3,lucioos,Yes,Support,Zenyatta,1,10,12,3,2356,2236,0,Friendly,Zenyatta,,,
3,Hernan,No,Support,Lifeweaver,3,8,25,0,769,11819,551,Friendly,Lifeweaver,,,
3,Keiguru,No,Support,Kiriko,2,2,7,9,1280,6621,0,Opponent,Kiriko,,,
3,LoverArcade,No,Support,"Ana, Zenyatta",2,8,8,8,3376,5379,197,Opponent,Ana,Zenyatta,,
3,GlawUpriser,No,Tank,Orisa,2,24,4,4,7462,0,4830,Friendly,Orisa,,,
3,PrixParade,No,Tank,"Doomfist, Zarya",3,14,3,7,9255,0,5992,Opponent,Doomfist,Zarya,,
3,RightNutt,No,Damage,Hanzo ,5,27,3,5,8518,0,0,Friendly,Hanzo ,,,
3,GrayGNoll,No,Damage,"Tracer, Genji",3,18,0,5,5672,0,0,Friendly,Tracer,Genji,,
3,Slim,No,Damage,"Cassidy, Sojourn, Soldier: 76",2,12,4,10,5848,955,0,Opponent,Cassidy,Sojourn,Soldier: 76,
3,TheWatch4D,Yes,Damage,Torbjorn,0,1,0,5,2105,0,637,Opponent,Torbjorn,,,
4,lucioos,No,Support,"Kiriko, Zenyatta",3,13,15,8,3081,9997,0,Friendly,Kiriko,Zenyatta,,
4,SleepyNinja,No,Support,"Baptiste, Ana",4,4,12,8,1898,11057,1050,Friendly,Baptiste,Ana,,
4,MurlocLeader,No,Support,"Ana, Lifeweaver",4,5,23,2,1590,8973,799,Opponent,Ana,Lifeweaver,,
4,Alextintor,No,Tank,"Roadhog, Winston, Zarya, Dva",3,17,2,9,8464,731,10249,Friendly,Roadhog,Winston,Zarya,Dva
4,PeakLily01,No,Tank,"Reinhardt, Sigma ",3,12,1,8,8344,0,10446,Opponent,Reinhardt,Sigma ,,
4,Agulnac47,No,Damage,"Genji, Sombra, Tracer",3,14,4,7,4067,72,155,Friendly,Genji,Sombra,Tracer,
4,GlamAttack,No,Damage,"Sojourn, Bastion",2,14,1,9,8337,283,746,Friendly,Sojourn,Bastion,,
4,Heiss,No,Damage,"Symmetra, Bastion, Reaper",5,28,8,8,10986,585,3742,Opponent,Symmetra,Bastion,Reaper,
4,Maeeved,No,Damage,Ashe,4,23,0,4,9287,0,0,Opponent,Ashe,,,
5,lucioos,No,Support,"Illari, Ana",1,2,2,5,1870,2951,0,Friendly,Illari,Ana,,
5,RulingMusic,No,Support,Lifeweaver,1,0,3,3,923,5542,155,Friendly,Lifeweaver,,,
5,Zakik3ro,No,Support,Illari,3,16,1,5,7173,5319,0,Opponent,Illari,,,
5,GoodstarGreg,No,Support,Illari,1,11,4,0,2712,5733,0,Opponent,Illari,,,
5,ColdShell,No,Support,Brigitte,1,7,9,0,1250,4022,697,Opponent,Brigitte,,,
5,CamelRider,No,Tank,Zarya,1,2,0,5,3253,662,3366,Friendly,Zarya,,,
5,GuardianRay,No,Tank,Reinhardt,0,14,0,2,5144,0,7169,Opponent,Reinhardt,,,
5,Kyranite,No,Damage,Hanzo,2,4,0,6,4464,0,0,Friendly,Hanzo,,,
5,Mudkip,Yes,Damage,Mei,0,1,0,1,963,27,100,Friendly,Mei,,,
5,Loknar,No,Damage,Torbjorn,1,8,0,1,3438,0,613,Opponent,Torbjorn,,,
5,Shoju,No,Damage,Cassidy ,2,14,0,1,4705,0,67,Opponent,Cassidy ,,,
6,lucioos,No,Support,Illari,1,6,4,0,2204,5073,0,Friendly,Illari,,,
6,SungJinWoo,No,Support,Kiriko,0,4,6,0,2434,4799,0,Friendly,Kiriko,,,
6,BanditoTV,No,Support,Illari,2,3,1,4,2842,4655,0,Opponent,Illari,,,
6,Sylthryn,No,Support,Ana,2,1,3,2,1906,5526,415,Opponent,Ana,,,
6,Kezra,Yes,Tank,Doomfist,1,0,1,1,2831,0,836,Friendly,Doomfist,,,
6,AngelOfDeath,No,Tank,Roadhog,3,3,2,2,4828,5047,970,Opponent,Roadhog,,,
6,SpeedyCome,No,Damage,Torbjorn,1,15,1,0,4750,0,0,Friendly,Torbjorn,,,
6,Sqweeps,No,Damage,"Junkrat, Soldier: 76",2,9,1,1,2204,187,0,Friendly,Junkrat,Soldier: 76,,
6,Canon,No,Damage,"Torbjorn, Pharah",0,3,0,5,2733,0,400,Opponent,Torbjorn,Pharah,,
6,RawxPapers47,No,Damage,"Genji, Reaper, Soldier: 76",0,0,0,8,1667,131,408,Opponent,Genji,Reaper,Soldier: 76,
7,lucioos,No,Support,Ana,1,4,7,3,1983,5162,29,Friendly,Ana,,,
7,Everest,No,Support,Baptiste ,3,2,6,4,1856,5518,386,Friendly,Baptiste ,,,
7,InigoMontoya,No,Support,Mercy,1,0,15,4,60,5319,0,Opponent,Mercy,,,
7,Jahslick,No,Support,Moira,2,15,4,4,5318,4727,0,Opponent,Moira,,,
7,Xzadik,No,Tank,Zarya,1,9,2,4,5797,0,3175,Friendly,Zarya,,,
7,Taco,No,Tank,Doomfist,3,11,3,2,4337,0,2833,Opponent,Doomfist,,,
7,HanSolo,No,Damage,"Sojourn, Tracer",1,9,1,6,3580,0,0,Friendly,Sojourn,Tracer,,
7,SoundedComa,No,Damage,Ashe,1,11,0,5,5870,0,0,Friendly,Ashe,,,
7,Atiliano,No,Damage,Symmetra ,1,12,0,4,4905,82,1911,Opponent,Symmetra ,,,
7,DreamyBull,No,Damage,"Mei, Pharah, Sombra",2,9,5,5,3090,1429,469,Opponent,Mei,Pharah,Sombra,
8,lucioos,No,Support,"Ana, Zenyatta",1,12,13,9,3505,3248,318,Friendly,Ana,Zenyatta,,
8,Water,No,Support,Lucio,3,11,9,8,2351,6564,1809,Friendly,Lucio,,,
8,Jahslick,No,Support,Moira,4,26,5,2,7045,5046,0,Opponent,Moira,,,
8,Synergy,No,Support,Brigitte,2,14,21,6,2622,6926,1062,Opponent,Brigitte,,,
8,Epso,No,Tank,Doomfist,3,8,1,7,5061,0,2276,Friendly,Doomfist,,,
8,Cynosure,No,Tank,Doomfist,5,22,5,7,5526,0,3732,Opponent,Doomfist,,,
8,BlueRage,No,Damage,"Ashe, Tracer",1,19,0,8,5513,0,0,Friendly,Ashe,Tracer,,
8,FearEffect,No,Damage,"Reaper, Bastion, Symmetra",3,20,6,9,6827,58,2170,Friendly,Reaper,Bastion,Symmetra,
8,Ambom,No,Damage,"Genji, Cassidy, Tracer",3,12,0,8,4663,0,427,Opponent,Genji,Cassidy,Tracer,
8,ISlaySpoons,No,Damage,"Widowmaker, Hanzo, Junkrat",2,19,6,6,5812,0,0,Opponent,Widowmaker,Hanzo,Junkrat,
9,lucioos,No,Support,"Ana, Illari, Brigitte",3,2,2,6,2059,7085,1557,Friendly,Ana,Illari,Brigitte,
9,WitnessMe,No,Support,Lifeweaver,3,1,6,5,1219,9062,800,Friendly,Lifeweaver,,,
9,EdnaMode,No,Support,Lifeweaver,4,9,17,2,904,9102,136,Opponent,Lifeweaver,,,
9,Hofuo20,No,Support,Illari,3,14,5,3,5078,7655,0,Opponent,Illari,,,
9,Kumaru,No,Tank,"Roadhog, Ramattra",2,8,0,6,7985,1631,1470,Friendly,Roadhog,Ramattra,,
9,CreamSoda250,Yes,Tank,Dva,3,21,6,1,9331,0,0,Opponent,Dva,,,
9,DomBurrito,No,Damage,Soldier: 76,1,7,0,9,5649,601,308,Friendly,Soldier: 76,,,
9,Obake,No,Damage,"Hanzo, Torbjorn",3,6,0,7,7528,0,498,Friendly,Hanzo,Torbjorn,,
9,Chrolo,No,Damage,Symmetra,4,19,7,5,8085,0,4693,Opponent,Symmetra,,,
9,TheGoodMan12,No,Damage,Soldier: 76,4,25,4,2,8446,765,0,Opponent,Soldier: 76,,,
10,lucioos,No,Support,"Lifeweaver, Ana",4,4,12,7,1495,8145,438,Friendly,Lifeweaver,Ana,,
10,Squid,No,Support,Illari,4,6,3,4,4034,8170,0,Friendly,Illari,,,
10,Z67,Yes,Support,"Ana, Baptiste",2,3,5,3,2559,3716,384,Opponent,Ana,Baptiste,,
10,RulingMusic,No,Support,Lifeweaver,3,3,14,2,1246,12737,983,Opponent,Lifeweaver,,,
10,Ed3Po,No,Tank,Wrecking Ball,5,9,2,2,8802,0,3879,Friendly,Wrecking Ball,,,
10,Tatertot,No,Tank,Ramattra,3,14,2,6,9244,100,10767,Opponent,Ramattra,,,
10,ForGloryZoro,No,Damage,"Hanzo, Pharah, Soldier: 76",3,11,0,8,7891,600,0,Friendly,Hanzo,Pharah,Soldier: 76,
10,Slurpin,No,Damage,Junkrat,4,13,3,7,7408,0,0,Friendly,Junkrat,,,
10,AndTheFalcon,No,Damage,Pharah,3,15,1,4,8066,0,51,Opponent,Pharah,,,
10,Grunt (Korean),No,Damage,"Hanzo, Cassidy, Reaper",3,14,1,6,9208,520,0,Opponent,Hanzo,Cassidy,Reaper,
11,Kenzo14,No,Support,Ana,3,12,20,5,3744,8848,557,Friendly,Ana,,,
11,lucioos,No,Support,Illari,5,14,6,5,4330,12845,0,Friendly,Illari,,,
11,Squid,No,Support,Illari,5,13,8,6,4526,10387,0,Opponent,Illari,,,
11,Capnbuhbo,No,Support,Mercy,3,4,13,5,888,9953,0,Opponent,Mercy,,,
11,Bajango,No,Tank,Reinhardt,3,19,3,6,10070,0,19421,Friendly,Reinhardt,,,
11,Kig9445,No,Tank,Ramattra,3,12,2,11,10016,0,5845,Opponent,Ramattra,,,
11,MadeMow,No,Damage,Reaper,3,15,1,8,8357,1477,0,Friendly,Reaper,,,
11,Solev95,No,Damage,Ashe,4,20,2,8,10687,0,0,Friendly,Ashe,,,
11,Malvos,No,Damage,Ashe,4,18,2,8,9696,0,0,Opponent,Ashe,,,
11,CakeKxtx,No,Damage,Torbjorn,3,13,1,8,7839,0,1147,Opponent,Torbjorn,,,
12,BDKingGaming,Yes,Support,Moira,1,7,5,11,1885,1731,0,Friendly,Moira,,,
12,lucioos,No,Support,"Kiriko, Zenyatta, Brigitte",3,18,16,10,5365,9427,219,Friendly,Kiriko,Zenyatta,Brigitte,
12,Slab,No,Support,Moira,3,34,33,4,5175,8695,0,Opponent,Moira,,,
12,NastyAssHo,No,Support,"Mercy, Kiriko",3,12,32,3,1995,8050,0,Opponent,Mercy,Kiriko,,
12,MetroVisionz,No,Tank,"Ramattra, Reinhardt",2,12,0,9,7256,0,8844,Friendly,Ramattra,Reinhardt,,
12,GodlyGriffin,Yes,Tank,Doomfist,3,30,5,9,8493,0,5158,Opponent,Doomfist,,,
12,SkullFace,No,Damage,"Reaper, Junkrat",1,13,2,16,4629,264,0,Friendly,Reaper,Junkrat,,
12,Xeaxon,No,Damage,"Echo, Soldier: 76, Tracer, Cassidy",4,17,0,11,8673,558,4,Friendly,Echo,Soldier: 76,Tracer,Cassidy
12,LilScotty,No,Damage,"Cassidy, Soldier: 76",4,35,1,6,9802,177,371,Opponent,Cassidy,Soldier: 76,,
12,AceTylus,No,Damage,Genji,4,30,0,9,8809,0,1921,Opponent,Genji,,,
13,AcppVlogs123,No,Support,"Baptiste, Zenyatta",2,18,9,6,4880,3649,205,Friendly,Baptiste,Zenyatta,,
13,PandaTot,No,Support,Mercy,4,6,16,1,910,10673,0,Friendly,Mercy,,,
13,BippySpace,No,Support,Ana,3,5,9,5,1520,7631,588,Opponent,Ana,,,
13,Nitro260,No,Support,"Brigitte, Mercy",2,3,8,3,1234,6969,2284,Opponent,Brigitte,Mercy,,
13,WarMasterOku,No,Tank,Sigma,3,15,5,1,6841,0,21744,Friendly,Sigma,,,
13,Orion,No,Tank,"Reinhardt, Orisa",2,4,1,9,6218,0,10614,Opponent,Reinhardt,Orisa,,
13,Blight,No,Damage,"Sojourn, Junkrat",3,17,3,7,7317,0,0,Friendly,Sojourn,Junkrat,,
13,lucioos,No,Damage,Echo,3,17,0,5,6212,69,561,Friendly,Echo,,,
13,GivnTheBerch,No,Damage,Hanzo,2,10,2,5,5148,0,0,Opponent,Hanzo,,,
13,KrazyKat,No,Damage,Bastion,3,11,0,6,10322,549,1441,Opponent,Bastion,,,
14,KnyghtLake,No,Support,Ana,5,10,12,7,5121,8529,1410,Friendly,Ana,,,
14,lucioos,No,Support,"Zenyatta, Kiriko, Zenyatta",4,14,15,9,5585,8522,0,Friendly,Zenyatta,Kiriko,Zenyatta,
14,Darwin,No,Support,Lifeweaver,4,21,26,2,2239,12811,662,Opponent,Lifeweaver,,,
14,UnknownP3,No,Support,"Brigitte, Ana",4,22,30,5,3450,10923,4911,Opponent,Brigitte,Ana,,
14,DiffrentBird,No,Tank,"Zarya, Orisa",2,11,5,10,7492,0,7327,Friendly,Zarya,Orisa,,
14,Hexxlyn,No,Tank,Wrecking Ball,2,24,0,6,5960,0,2092,Opponent,Wrecking Ball,,,
14,Lazert,No,Damage,Echo,3,15,0,10,10829,117,1106,Friendly,Echo,,,
14,SpookyChriis,No,Damage,"Reaper, Junkrat",4,21,0,9,13445,850,0,Friendly,Reaper,Junkrat,,
14,Psychedelic,No,Damage,"Widowmaker, Symmetra, Junkrat, Soldier: 76",3,26,6,9,8794,848,2033,Opponent,Widowmaker,Symmetra,Junkrat,Soldier: 76
14,Fish,No,Damage,Bastion,4,33,6,5,11972,285,1332,Opponent,Bastion,,,
15,lucioos,No,Tank,Orisa,2,14,5,4,6693,0,4751,Friendly,Orisa,,,
15,LeedleLee,No,Damage,Cassidy,2,19,0,3,5960,0,103,Friendly,Cassidy,,,
15,LTGunman,No,Damage,Ashe,2,11,0,1,4780,0,0,Friendly,Ashe,,,
15,Benimaru,No,Support,"Illari, Lucio",2,11,11,3,3087,4465,210,Friendly,Illari,Lucio,,
15,Zomj12,No,Support,"Ana, Illari ",2,11,11,1,2556,5688,496,Friendly,Ana,Illari ,,
15,Ocutxbmv,No,Tank,"Reinhardt, Ramattra, Orisa",2,6,2,10,3844,0,10360,Opponent,Reinhardt,Ramattra,Orisa,
15,BarnabyJones,No,Damage,"Ashe, Reaper",1,4,0,4,3120,141,0,Opponent,Ashe,Reaper,,
15,Drill,Yes,Damage,"Tracer, Torbjorn",1,3,0,2,2498,0,187,Opponent,Tracer,Torbjorn,,
15,Selchie,No,Support,"Illari, Mercy",2,1,4,3,1390,6010,0,Opponent,Illari,Mercy,,
